id,component,reshape_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
pycaret_20230421_051401,1,2,80,0.7639,0.1094,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230421_051854,1,2,90,0.7639,0.1094,0.7222222222222222,0.7142857142857143,0.75
pycaret_20230421_052336,1,2,100,0.7778,0.1145,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230421_053507,1,3,10,0.7361,0.1375,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_054756,1,3,20,0.7778,0.0982,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_055952,1,3,30,0.8056,0.1039,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_061124,1,3,40,0.7639,0.0708,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230421_061629,1,3,50,0.75,0.0833,0.8333333333333334,0.8328173374613004,0.8374999999999999
pycaret_20230421_062846,1,3,60,0.7917,0.1443,0.8888888888888888,0.8875000000000001,0.9090909090909091
pycaret_20230421_064237,1,3,70,0.7917,0.1318,0.8333333333333334,0.8328173374613004,0.8374999999999999
