id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230501_014054,1,11,90,0.7083,0.1654,0.6111,0.5418,0.7812
h2o_20230501_020244,1,11,110,0.7222,0.1954,0.5556,0.5,0.6
h2o_20230501_022841,1,11,130,0.75,0.1654,0.6111,0.5418,0.7812
h2o_20230501_025805,1,11,150,0.7639,0.2205,0.5,0.4109,0.5
h2o_20230501_033138,1,11,170,0.7222,0.2145,0.5,0.4109,0.5
h2o_20230501_040757,1,11,190,0.75,0.2421,0.5,0.3333,0.25
h2o_20230501_045015,1,11,210,0.75,0.2165,0.5,0.3333,0.25
h2o_20230501_045436,1,13,10,0.75,0.1398,0.6667,0.6625,0.6753
h2o_20230501_045959,1,13,30,0.7222,0.1852,0.6667,0.6625,0.6753
h2o_20230501_050824,1,13,50,0.6667,0.2165,0.6111,0.6,0.625
h2o_20230501_052029,1,13,70,0.6667,0.1976,0.6111,0.6099,0.6125
h2o_20230501_053649,1,13,90,0.7361,0.1816,0.7778,0.7778,0.7778
h2o_20230501_055526,1,13,110,0.625,0.2165,0.6111,0.6,0.625
h2o_20230501_061946,1,13,130,0.5972,0.2708,0.5,0.4582,0.5
h2o_20230501_064813,1,13,150,0.6806,0.243,0.6111,0.6099,0.6125
h2o_20230501_071651,1,13,170,0.625,0.2339,0.5556,0.5,0.6
h2o_20230501_074958,1,13,190,0.625,0.25,0.5,0.4109,0.5
h2o_20230501_082815,1,13,210,0.7361,0.2534,0.7778,0.775,0.7922
h2o_20230501_111308,1,15,10,0.6944,0.2083,0.7222,0.699,0.8214
h2o_20230501_111759,1,15,30,0.6806,0.178,0.4444,0.4444,0.4444
h2o_20230501_112530,1,15,50,0.7778,0.1743,0.5,0.4109,0.5
h2o_20230501_113533,1,15,70,0.7222,0.2403,0.5,0.3333,0.25
h2o_20230501_114912,1,15,90,0.7222,0.2052,0.5,0.3333,0.25
h2o_20230501_120505,1,15,110,0.6806,0.2509,0.6111,0.5786,0.6607
h2o_20230501_122446,1,15,130,0.6944,0.243,0.5556,0.5556,0.5556
h2o_20230501_124723,1,15,150,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230501_131246,1,15,170,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230501_134050,1,15,190,0.6806,0.2263,0.5,0.4109,0.5
h2o_20230501_141158,1,15,210,0.6944,0.243,0.5556,0.5556,0.5556
h2o_20230501_164819,1,2,230,0.9306,0.1102,0.6667,0.625,0.8
h2o_20230501_165712,1,2,250,0.9028,0.0833,0.9444,0.9443,0.95
h2o_20230501_170933,1,2,270,0.9167,0.0884,0.9444,0.9443,0.95
h2o_20230501_172536,1,2,290,0.9028,0.0833,0.9444,0.9443,0.95
h2o_20230501_174504,1,2,310,0.9028,0.0833,0.9444,0.9443,0.95
h2o_20230501_175235,1,3,230,0.9193,0.0887,0.8889,0.8875,0.9091
h2o_20230501_180136,1,3,250,0.9028,0.0833,0.8889,0.8889,0.8889
h2o_20230501_181404,1,3,270,0.9167,0.0884,0.8889,0.8875,0.9091
h2o_20230501_183038,1,3,290,0.8889,0.0751,0.8333,0.8328,0.8375
h2o_20230501_185138,1,3,310,0.8889,0.0751,0.8333,0.8328,0.8375
h2o_20230501_185815,1,4,230,0.8056,0.1413,0.5,0.3333,0.25
h2o_20230501_190656,1,4,250,0.7917,0.1875,0.6111,0.5418,0.7812
h2o_20230501_191952,1,4,270,0.8333,0.1083,0.5,0.3333,0.25
h2o_20230501_193722,1,4,290,0.8333,0.125,0.5,0.4109,0.5
h2o_20230501_195811,1,4,310,0.7917,0.2165,0.7778,0.775,0.7922
h2o_20230502_084529,1,1,230,0.8611,0.1318,0.8333,0.8286,0.875
h2o_20230502_085439,1,1,250,0.8333,0.125,0.5556,0.5,0.6
h2o_20230502_090820,1,1,270,0.8889,0.0751,0.6667,0.6494,0.7077
h2o_20230502_092738,1,1,290,0.875,0.0884,0.6111,0.5418,0.7812
h2o_20230502_095012,1,1,310,0.8611,0.0977,0.8333,0.8286,0.875
h2o_20230502_095815,1,5,230,0.8611,0.0977,0.5,0.3333,0.25
h2o_20230502_100828,1,5,250,0.7917,0.1654,0.6667,0.6494,0.7077
h2o_20230502_102227,1,5,270,0.8056,0.1267,0.6667,0.6494,0.7077
h2o_20230502_104110,1,5,290,0.7778,0.2052,0.6667,0.6625,0.6753
h2o_20230502_110434,1,5,310,0.7778,0.2052,0.6667,0.6625,0.6753
h2o_20230503_091735,1,1,330,0.8472,0.1366,0.6111,0.5418,0.7812
h2o_20230503_092919,1,1,350,0.8472,0.1042,0.8333,0.8328,0.8375
h2o_20230503_094017,1,2,330,0.9028,0.0833,0.9444,0.9443,0.95
h2o_20230503_095247,1,2,350,0.9167,0.0884,0.9444,0.9443,0.95
h2o_20230503_100503,1,3,330,0.9028,0.0833,0.8333,0.8328,0.8375
h2o_20230503_101625,1,3,350,0.9028,0.0833,0.8333,0.8328,0.8375
h2o_20230503_102423,1,4,330,0.7917,0.2165,0.5556,0.4462,0.7647
h2o_20230503_103507,1,4,350,0.75,0.2165,0.5556,0.4462,0.7647
h2o_20230503_104349,1,5,330,0.7917,0.1654,0.6667,0.6625,0.6753
h2o_20230503_105444,1,5,350,0.7917,0.1654,0.6667,0.6625,0.6753
h2o_20230503_143743,1,1,370,0.8472,0.1042,0.8889,0.8875,0.9091
h2o_20230503_144747,1,1,390,0.8611,0.116,0.8333,0.8328,0.8375
h2o_20230503_150120,1,1,410,0.8611,0.116,0.7778,0.775,0.7922
h2o_20230503_151032,1,2,370,0.9167,0.0884,0.8889,0.8889,0.8889
h2o_20230503_152113,1,2,390,0.9367,0.0618,0.9444,0.9443,0.95
h2o_20230503_153632,1,2,410,0.9028,0.0833,0.8889,0.8889,0.8889
h2o_20230503_154626,1,3,370,0.8889,0.0751,0.8333,0.8286,0.875
h2o_20230503_155829,1,3,390,0.875,0.0884,0.8333,0.8328,0.8375
h2o_20230503_161529,1,3,410,0.8794,0.1074,0.7222,0.7143,0.75
h2o_20230503_162408,1,4,370,0.7778,0.2052,0.6667,0.6494,0.7077
h2o_20230503_163448,1,4,390,0.7778,0.232,0.5556,0.4462,0.7647
h2o_20230503_165013,1,4,410,0.7639,0.202,0.6111,0.5786,0.6607
h2o_20230503_165853,1,5,370,0.7639,0.202,0.7222,0.7143,0.75
h2o_20230503_170935,1,5,390,0.7917,0.1654,0.7778,0.775,0.7922
h2o_20230503_172453,1,5,410,0.7639,0.202,0.7778,0.7778,0.7778
h2o_20230518_123054,1,2,30,0.9028,0.1042,0.7778,0.775,0.7922
h2o_20230518_123834,1,2,50,0.9028,0.1042,0.5,0.4109,0.5
h2o_20230518_124816,1,2,70,0.875,0.0884,0.8889,0.8889,0.8889
h2o_20230518_130245,1,2,90,0.8889,0.0977,0.6667,0.6494,0.7077
h2o_20230518_132155,1,2,110,0.9028,0.1042,0.7778,0.775,0.7922
h2o_20230518_132950,1,3,30,0.9306,0.1102,0.7778,0.775,0.7922
h2o_20230518_133657,1,3,50,0.9306,0.0659,0.7222,0.7214,0.725
h2o_20230518_134746,1,3,70,0.8948,0.0959,0.9444,0.9443,0.95
h2o_20230518_140334,1,3,90,0.9087,0.0721,0.8333,0.8286,0.875
h2o_20230518_142505,1,3,110,0.9193,0.0887,0.8889,0.8875,0.9091
h2o_20230518_143040,1,4,30,0.8611,0.0751,0.7222,0.699,0.8214
h2o_20230518_143916,1,4,50,0.8889,0.0751,0.7778,0.775,0.7922
h2o_20230518_145043,1,4,70,0.9167,0.0884,0.7778,0.775,0.7922
h2o_20230518_150708,1,4,90,0.8889,0.0751,0.7778,0.775,0.7922
h2o_20230518_152536,1,4,110,0.875,0.0884,0.6111,0.5418,0.7812
